"","open","high","low","close","volume","value"
"2021-10-04 09:00:00","58466000","60331000","57346000","60020000","6699.98876873","392304690362.09"
"2021-10-05 09:00:00","60020000","62500000","59547000","61666000","9846.15636431","596248479174.79"
"2021-10-06 09:00:00","61666000","67636000","61113000","67000000","13462.73768824","864584706843.07"
"2021-10-07 09:00:00","66998000","67290000","65265000","65500000","8828.33453547","584191782622.25"
"2021-10-08 09:00:00","65501000","68200000","65151000","65951000","8405.272394","559268632990.66"
"2021-10-09 09:00:00","65951000","67731000","65659000","67057000","5042.25221793","337726926141.74"
"2021-10-10 09:00:00","67057000","69023000","66350000","67801000","5559.81442292","375920524221.5"
"2021-10-11 09:00:00","67801000","71600000","67547000","70921000","9404.74824492","657471668000.45"
"2021-10-12 09:00:00","70954000","71368000","67558000","69164000","8980.82152047","628672206653.53"
"2021-10-13 09:00:00","69188000","70700000","66865000","69857000","8568.72701657","587847809013.98"
"2021-10-14 09:00:00","69857000","71470000","69400000","69783000","6362.57109584","447309084626.59"
"2021-10-15 09:00:00","69784000","76721000","69420000","75688000","15661.24926397","1145452749698.3"
"2021-10-16 09:00:00","75688000","76370000","73950000","74806000","7825.0005115","589288907263.06"
"2021-10-17 09:00:00","74806000","76200000","74008000","75933000","5403.94853669","404990697637.64"
"2021-10-18 09:00:00","75933000","77276000","74193000","76546000","8312.73781879","632688540533.95"
"2021-10-19 09:00:00","76541000","79285000","75925000","78776000","9018.17095087","696401614018.55"
"2021-10-20 09:00:00","78776000","81750000","78001000","79917000","14472.09742285","1152411111515.2"
"2021-10-21 09:00:00","79919000","80811000","76324000","76396000","15551.93334613","1225371802278.8"
"2021-10-22 09:00:00","76396000","77640000","74123000","74364000","11856.84444258","903371302135.19"
"2021-10-23 09:00:00","74350000","75580000","73247000","74830000","7080.04234866","529341477417.08"
"2021-10-24 09:00:00","74830000","75530000","73635000","74501000","6110.3785988","454814496440.77"
"2021-10-25 09:00:00","74501000","77024000","74210000","76200000","6856.57775992","521225048265.06"
"2021-10-26 09:00:00","76250000","76480000","73002000","73293000","8258.18143151","619824450361.12"
"2021-10-27 09:00:00","73293000","74200000","70180000","71845000","14503.8250321","1053620820854.8"
"2021-10-28 09:00:00","71833000","74707000","71028000","73122000","8654.62147862","630325919861.43"
"2021-10-29 09:00:00","73028000","75405000","72676000","74568000","7156.5495444","529148496573.08"
"2021-10-30 09:00:00","74568000","74748000","72910000","73413000","6019.3726361","443974248919.12"
"2021-10-31 09:00:00","73428000","74502000","71551000","72391000","7515.24771978","547624687479.14"
"2021-11-01 09:00:00","72325000","73928000","71003000","72401000","6319.81024636","459799779805.78"
"2021-11-02 09:00:00","72402000","75590000","72031000","74150000","7684.60605039","567138389401.78"
"2021-11-03 09:00:00","74106000","75141000","72500000","74600000","7931.12310979","586147364013.16"
"2021-11-04 09:00:00","74607000","74880000","73480000","73807000","5757.70198775","426469535512.62"
"2021-11-05 09:00:00","73807000","75000000","73490000","74121000","5520.4236536","410709736766"
"2021-11-06 09:00:00","74092000","74649000","73800000","74575000","3742.0767138","277629666879.83"
"2021-11-07 09:00:00","74576000","76700000","74481000","76536000","4447.00986585","335634172962.17"
"2021-11-08 09:00:00","76649000","81586000","76534000","81403000","9132.13666783","726433660922.18"
"2021-11-09 09:00:00","81402000","82700000","79987000","80857000","9216.26072135","749642408219.28"
"2021-11-10 09:00:00","80813000","82520000","78510000","79660000","13173.31625594","1059561087264"
"2021-11-11 09:00:00","79663000","79732000","78543000","78917000","7167.44682984","566786888469.36"
"2021-11-12 09:00:00","78938000","79100000","76712000","78165000","7117.16534788","555556239586.21"
"2021-11-13 09:00:00","78165000","78770000","77120000","77867000","4350.10453278","338562919987.83"
"2021-11-14 09:00:00","77867000","79350000","77579000","79310000","3826.41658753","300107299012.1"
"2021-11-15 09:00:00","79323000","80250000","77330000","77602000","6972.54522621","550661898860.93"
"2021-11-16 09:00:00","77600000","77602000","73325000","73897000","12978.65608121","972845801082.59"
"2021-11-17 09:00:00","73897000","74712000","72000000","73935000","9918.31995415","727534439444.19"
"2021-11-18 09:00:00","73941000","74494000","70000000","70611000","15304.60880992","1116607005545.4"
"2021-11-19 09:00:00","70602000","72376000","69150000","71813000","9106.09854129","644660277293.93"
"2021-11-20 09:00:00","71813000","74090000","71500000","73669000","5649.73412587","410541726042.79"
"2021-11-21 09:00:00","73669000","74200000","72695000","73047000","4787.87666179","350690458560.52"
"2021-11-22 09:00:00","73096000","73498000","70285000","70589000","7714.84906712","553218859712.91"
"2021-11-23 09:00:00","70589000","72200000","69556000","71802000","8493.89979735","602133383999.35"
"2021-11-24 09:00:00","71726000","72300000","70265000","71680000","6609.91155089","468511820298.09"
"2021-11-25 09:00:00","71689000","74136000","71220000","73171000","9049.17474463","658196555146.7"
"2021-11-26 09:00:00","73160000","73567000","68089000","68549000","12468.28912157","883496099720.31"
"2021-11-27 09:00:00","68550000","70276000","68140000","70039000","4865.73785339","338381741544.12"
"2021-11-28 09:00:00","70039000","72691000","68607000","72303000","5439.53030356","380943799247.14"
"2021-11-29 09:00:00","72255000","73166000","71298000","72240000","5965.74542692","431249801809.79"
"2021-11-30 09:00:00","72241000","73300000","70000000","70702000","8717.7658615","623384585488.26"
"2021-12-01 09:00:00","70771000","72850000","70500000","70936000","7443.52963772","529661740005.62"
"2021-12-02 09:00:00","70936000","71500000","69958000","70539000","10208.00313323","719755308272.2"
"2021-12-03 09:00:00","70563000","71189000","67034000","68053000","15061.77754449","1053599225982.5"
"2021-12-04 09:00:00","68068000","68191000","56000000","62206000","28348.95914312","1757512901445.5"
"2021-12-05 09:00:00","62178000","63297000","59685000","61877000","12124.69394126","749188784836.93"
"2021-12-06 09:00:00","61877000","63103000","59016000","62626000","11591.24846455","703577992750.93"
"2021-12-07 09:00:00","62632000","64120000","62316000","63204000","8054.47784621","509439926577.69"
"2021-12-08 09:00:00","63205000","63450000","60500000","62217000","7423.34923321","462084243427.43"
"2021-12-09 09:00:00","62217000","62499000","59200000","59425000","6985.12525942","425034996310.39"
"2021-12-10 09:00:00","59425000","61995000","59106000","59683000","7746.32503472","466065446683.85"
"2021-12-11 09:00:00","59749000","61538000","59500000","61427000","3629.5367696","219745359643.68"
"2021-12-12 09:00:00","61414000","62887000","60904000","62049000","3665.34563234","226239759072.23"
"2021-12-13 09:00:00","61995000","62190000","58158000","58626000","7453.74091001","447420970311.17"
"2021-12-14 09:00:00","58626000","60150000","57347000","59930000","7199.35776367","421930887129.17"
"2021-12-15 09:00:00","59909000","62150000","58055000","61198000","10234.38988975","614210066819.08"
"2021-12-16 09:00:00","61196000","61660000","59500000","59817000","7807.69618658","473844929813.83"
"2021-12-17 09:00:00","59820000","60198000","57400000","58086000","8991.83583337","529378851668.7"
"2021-12-18 09:00:00","58110000","58867000","57207000","58402000","5479.58391512","318308284131.82"
"2021-12-19 09:00:00","58438000","59864000","58071000","58329000","5945.75001586","349830141080.1"
"2021-12-20 09:00:00","58329000","58616000","56917000","58011000","6685.60533352","385840635557.56"
"2021-12-21 09:00:00","57980000","60650000","57500000","60023000","6637.6709069","394352689438.52"
"2021-12-22 09:00:00","60023000","60772000","59605000","59753000","5773.9637448","347172202153.78"
